,ID,Name,Parameter,Language,Frequency,Confidence,References
0,14A,No fixed stress,Fixed Stress Locations,Spokane,,,Carlson 1989
1,15A,Not predictable,Weight-Sensitive Stress,Spokane,,,Carlson 1989
2,16A,Lexical stress,Weight Factors in Weight-Sensitive Stress Systems,Spokane,,,Carlson 1989
3,27A,Productive full and partial reduplication,Reduplication,Spokane,,,Bates 1997
4,129A,Different,Hand and Arm,Spokane,,,Carlson and Flett 1989
5,130A,Different,Finger and Hand,Spokane,,,Carlson and Flett 1989
