,ID,Name,Parameter,Language,Frequency,Confidence,References
0,81A,SVO,"Order of Subject, Object and Verb",Suku,,,Bunkheti 1997
1,82A,SV,Order of Subject and Verb,Suku,,,Bunkheti 1997
2,83A,VO,Order of Object and Verb,Suku,,,Bunkheti 1997
3,87A,Noun-Adjective,Order of Adjective and Noun,Suku,,,Bunkheti 1997
4,88A,Noun-Demonstrative,Order of Demonstrative and Noun,Suku,,,Bunkheti 1997
5,89A,Noun-Numeral,Order of Numeral and Noun,Suku,,,Bunkheti 1997
6,97A,VO and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Suku,,,
