,ID,Name,Parameter,Language,Frequency,Confidence,References
0,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Yurimangí,,,Rivet 1942
1,71A,Normal imperative + normal negative,The Prohibitive,Yurimangí,,,Rivet 1942
2,86A,Genitive-Noun,Order of Genitive and Noun,Yurimangí,,,Adelaar 2004
3,87A,Noun-Adjective,Order of Adjective and Noun,Yurimangí,,,Adelaar 2004
4,112A,Negative affix,Negative Morphemes,Yurimangí,,,Rivet 1942
5,143A,[V-Neg],Order of Negative Morpheme and Verb,Yurimangí,,,Rivet 1942
6,143E,None,Preverbal Negative Morphemes,Yurimangí,,,Rivet 1942
7,143F,[V-Neg],Postverbal Negative Morphemes,Yurimangí,,,Rivet 1942
8,143G,None,Minor morphological means of signaling negation,Yurimangí,,,Rivet 1942
