model	min	max	score
knn_cut	2	2	0.04874957081115672
knn_cut	3	3	0.07128499674313815
knn_cut	4	4	0.06855504835813964
knn_cut	5	5	0.054906931433200024
knn_cut	6	6	0.04944001689702171
knn_cut	7	7	0.04544469400355422
knn_cut	8	8	0.02859690357224176
knn_cut	9	9	0.030902959709669053
knn_cut	10	10	0.024009109596035527
knn_cut	11	11	0.02625156977398646
knn_cut	12	12	0.02419732694246801
knn_cut	13	13	0.027189846080527103
knn_cut	14	14	0.0266495142547718
knn_cut	15	15	0.029298100722279896
knn_cut	16	16	0.021780915907901655
knn_cut	17	17	0.027761510460473815
knn_cut	18	18	0.0313504751494833
knn_cut	19	19	0.024045355129107104
knn_cut	20	20	0.027673833542781967
knn_cut	21	21	0.02365302479743714
knn_cut	22	22	0.02364437437162903
knn_cut	23	23	0.021397238874379942
knn_cut	24	24	0.020592703316788308
knn_cut	25	25	0.018851062197374313
knn_cut	26	26	0.018211595474838083
knn_cut	27	27	0.022279867838719047
knn_cut	28	28	0.020530043314788582
knn_cut	29	29	0.01710708341831113
knn_cut	30	30	0.014368715564959
knn_cut	31	31	0.008712882192964289
knn_cut	32	32	0.006155248494316368
knn_cut	33	33	0.001587327178319109
knn_cut	34	34	0.005414308896201314
knn_cut	35	35	0.004550385677140056
knn_cut	36	36	-0.0021276596423720484
knn_cut	37	37	-0.0021276596423720484
knn_cut	38	38	0.0
knn_cut	39	39	0.0
