model	reduced	purity	score
knn_cut	169	0.290465983964436	0.00792609599764127
knn_cut	16	0.20534367593191127	0.00792609599764127
knn_cut	73	0.22979009852518206	0.00792609599764127
knn_cut	23	0.20802580504073043	0.00792609599764127
knn_cut	300	0.4262820512820513	0.07000232138305273
knn_cut	76	0.23126232741617359	0.00792609599764127
knn_cut	361	0.5169309062438834	0.023918617784636664
knn_cut	264	0.3846153846153846	0.00792609599764127
knn_cut	163	0.2856363494661367	0.00792609599764127
knn_cut	434	0.6648983200707339	0.03280335211074514
knn_cut	214	0.3301973805570928	0.00792609599764127
knn_cut	320	0.4508050089445438	0.028898745603151754
knn_cut	288	0.4117647058823529	0.00792609599764127
knn_cut	219	0.3350239504085658	0.00792609599764127
knn_cut	405	0.6136162687886826	0.05613745923842961
knn_cut	294	0.41880341880341876	0.00792609599764127
knn_cut	196	0.3132363132363133	0.00792609599764127
knn_cut	261	0.38095238095238093	0.00792609599764127
knn_cut	427	0.6520710059171597	0.008370340692670508
knn_cut	364	0.5224358974358974	0.023918617784636664
knn_cut	360	0.5151515151515151	0.023918617784636664
knn_cut	381	0.5592515592515592	0.0664718106320803
knn_cut	324	0.4560439560439561	0.028898745603151754
knn_cut	326	0.458758109360519	-0.04274025668319992
knn_cut	303	0.4297924297924298	0.07000232138305273
knn_cut	352	0.5003663003663004	0.023918617784636664
knn_cut	320	0.4508050089445438	0.028898745603151754
knn_cut	296	0.4212454212454212	0.00792609599764127
knn_cut	431	0.6595208070617906	0.03280335211074514
knn_cut	435	0.6666666666666667	0.03280335211074514
knn_cut	393	0.5905205905205906	0.00900161730856186
knn_cut	402	0.6085470085470086	-0.03495442664748205
knn_cut	407	0.6171945701357466	0.05613745923842961
knn_cut	374	0.5428074750108649	0.023918617784636664
knn_cut	362	0.5187376725838264	0.023918617784636664
knn_cut	367	0.5282051282051282	0.023918617784636664
knn_cut	447	0.694017094017094	-0.04124387365671911
knn_cut	393	0.5905205905205906	0.00900161730856186
knn_cut	386	0.5718432510885341	0.0664718106320803
knn_cut	403	0.6101987899740708	0.03343462872663694
knn_cut	407	0.6171945701357466	0.05613745923842961
knn_cut	425	0.6486796785304247	0.008370340692670508
knn_cut	422	0.6439560439560439	-0.027472543429974627
knn_cut	407	0.6171945701357466	0.05613745923842961
knn_cut	425	0.6486796785304247	0.008370340692670508
knn_cut	443	0.6834118262689691	-0.0012392021672086306
knn_cut	434	0.6648983200707339	0.03280335211074514
knn_cut	444	0.6858974358974359	0.03280335211074514
knn_cut	406	0.6153846153846154	0.05613745923842961
knn_cut	428	0.6538461538461539	-0.07350948106945199
