model	reduced	purity	score
knn_cut	169	0.290465983964436	0.06255504561345915
knn_cut	298	0.4237377742532382	0.054930542816932215
knn_cut	149	0.27502429543245865	0.06993638840222527
knn_cut	354	0.5039018952062431	0.03742949162009035
knn_cut	22	0.20763775231860337	0.060281957243041084
knn_cut	36	0.21322537112010798	0.06070304768201229
knn_cut	219	0.3350239504085658	0.07296982264797292
knn_cut	424	0.6470588235294117	-0.0012651524871855058
knn_cut	49	0.21873010360595013	0.05843931122678647
knn_cut	18	0.2061019149626745	0.06004978500158886
knn_cut	407	0.6171945701357466	0.03944235136518137
knn_cut	192	0.30974358974358973	0.053887755443226215
knn_cut	336	0.47337278106508873	0.04875612251349337
knn_cut	448	0.696969696969697	0.03487256260231586
knn_cut	274	0.3952011291460833	0.06107503641728851
knn_cut	298	0.4237377742532382	0.04824033994384069
knn_cut	302	0.4286099865047234	0.06692352926351708
knn_cut	363	0.5205724508050089	0.038339007819330195
knn_cut	445	0.6884888161483906	0.014090238641178088
knn_cut	272	0.39300699300699304	0.06193147804036636
knn_cut	399	0.6038047973531844	0.04633690424479475
knn_cut	312	0.441025641025641	0.05476009749234345
knn_cut	438	0.6723646723646723	0.03831750058460104
knn_cut	303	0.4297924297924298	0.06988939340072542
knn_cut	290	0.4140644833714141	0.06222654539020889
knn_cut	399	0.6038047973531844	0.043996478638185454
knn_cut	420	0.641025641025641	-0.003826994802989092
knn_cut	321	0.4520917678812416	0.0465251190380358
knn_cut	399	0.6038047973531844	0.05033667086180871
knn_cut	374	0.5428074750108649	0.028935219859634653
knn_cut	417	0.6348717948717948	-0.0075936538593718295
knn_cut	444	0.6858974358974359	0.015609995710957447
knn_cut	408	0.6190476190476191	0.03198712602086595
knn_cut	407	0.6171945701357466	0.03984660701638121
knn_cut	386	0.5718432510885341	0.03813699674905324
knn_cut	439	0.6744073536526367	0.0332057399959278
knn_cut	404	0.6118881118881119	0.025922594550721323
knn_cut	380	0.5567765567765568	0.04448279993030213
knn_cut	359	0.5132060921534606	0.03874513315144035
knn_cut	427	0.6520710059171597	-0.0018295665477521261
knn_cut	445	0.6884888161483906	0.01746713853618531
knn_cut	417	0.6348717948717948	-0.0068419580907007616
knn_cut	406	0.6153846153846154	0.03265137646759708
knn_cut	411	0.6239316239316239	0.04195486070068699
knn_cut	398	0.6022913256955811	0.03912437220609699
knn_cut	442	0.681025641025641	0.02114354695139009
knn_cut	415	0.6310356310356311	-0.007625686307202617
knn_cut	438	0.6723646723646723	0.03226278964668494
knn_cut	441	0.6787330316742082	0.028785586025072085
knn_cut	442	0.681025641025641	0.023696270862646918
