ID,Name,Parameter,Language,Frequency,Confidence,References
142A-heb,Logical meanings,Para-Linguistic Usages of Clicks,Hebrew (Modern),,,
143A-heb,NegV,Order of Negative Morpheme and Verb,Hebrew (Modern),,,Glinert 1989
143E-heb,NegV,Preverbal Negative Morphemes,Hebrew (Modern),,,Glinert 1989
143F-heb,None,Postverbal Negative Morphemes,Hebrew (Modern),,,Glinert 1989
143G-heb,None,Minor morphological means of signaling negation,Hebrew (Modern),,,Glinert 1989
144A-heb,SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb",Hebrew (Modern),,,Glinert 1989
144B-heb,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Hebrew (Modern),,,Glinert 1989
144D-heb,SNegVO,The Position of Negative Morphemes in SVO Languages,Hebrew (Modern),,,Glinert 1989
144H-heb,No NegSVO,NegSVO Order,Hebrew (Modern),,,Glinert 1989
144I-heb,Word&NoDoubleNeg,SNegVO Order,Hebrew (Modern),,,Glinert 1989
144J-heb,No SVNegO,SVNegO Order,Hebrew (Modern),,,Glinert 1989
144K-heb,No SVONeg,SVONeg Order,Hebrew (Modern),,,Glinert 1989
