ID,Name,Parameter,Language,Frequency,Confidence,References
73A-rus,Inflectional optative absent,The Optative,Russian,,,
74A-rus,Verbal constructions,Situational Possibility,Russian,,,Wade 1992
75A-rus,Verbal constructions,Epistemic Possibility,Russian,,,Wade 1992
76A-rus,Overlap for both possibility and necessity,Overlap between Situational and Epistemic Modal Marking,Russian,,,Wade 1992
77A-rus,No grammatical evidentials,Semantic Distinctions of Evidentiality,Russian,,,
78A-rus,No grammatical evidentials,Coding of Evidentiality,Russian,,,
79A-rus,Tense and aspect,Suppletion According to Tense and Aspect,Russian,,,
79B-rus,Imperative,Suppletion in Imperatives and Hortatives,Russian,,,
80A-rus,None,Verbal Number and Suppletion,Russian,,,
81A-rus,SVO,"Order of Subject, Object and Verb",Russian,,,Bivon 1971
82A-rus,SV,Order of Subject and Verb,Russian,,,Bivon 1971
83A-rus,VO,Order of Object and Verb,Russian,,,Bivon 1971
85A-rus,Prepositions,Order of Adposition and Noun Phrase,Russian,,,Borras and Christian 1959
86A-rus,Noun-Genitive,Order of Genitive and Noun,Russian,,,Bivon 1971
87A-rus,Adjective-Noun,Order of Adjective and Noun,Russian,,,Borras and Christian 1959;Bivon 1971;Krylova and Khavronina 1976;Launer 1974
88A-rus,Demonstrative-Noun,Order of Demonstrative and Noun,Russian,,,Bivon 1971;Krylova and Khavronina 1976
89A-rus,Numeral-Noun,Order of Numeral and Noun,Russian,,,Bivon 1971
90A-rus,Noun-Relative clause,Order of Relative Clause and Noun,Russian,,,Bivon 1971
90C-rus,Noun-Relative clause (NRel) dominant,Postnominal relative clauses,Russian,,,Bivon 1971
91A-rus,Degree word-Adjective,Order of Degree Word and Adjective,Russian,,,Krylova and Khavronina 1976
92A-rus,Second position,Position of Polar Question Particles,Russian,,,Launer 1974
93A-rus,Initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Russian,,,Launer 1974
94A-rus,Initial subordinator word,Order of Adverbial Subordinator and Clause,Russian,,,Bivon 1971
95A-rus,VO and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Russian,,,
96A-rus,VO and NRel,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Russian,,,
97A-rus,VO and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Russian,,,
98A-rus,Nominative - accusative (standard),Alignment of Case Marking of Full Noun Phrases,Russian,,,
99A-rus,Nominative - accusative (standard),Alignment of Case Marking of Pronouns,Russian,,,
100A-rus,Accusative,Alignment of Verbal Person Marking,Russian,,,Wade 1992
101A-rus,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Russian,,,Stilman and Harkins 1964
102A-rus,Only the A argument,Verbal Person Marking,Russian,,,Wade 1992
103A-rus,No zero realization,Third Person Zero of Verbal Person Marking,Russian,,,Wade 1992
104A-rus,A and P do not or do not both occur on the verb,Order of Person Markers on the Verb,Russian,,,Wade 1992
105A-rus,Indirect-object construction,Ditransitive Constructions: The Verb 'Give',Russian,,,
106A-rus,Mixed,Reciprocal Constructions,Russian,,,
107A-rus,Present,Passive Constructions,Russian,,,Wade 1992
108A-rus,No antipassive,Antipassive Constructions,Russian,,,
108B-rus,no antipassive,Productivity of the Antipassive Construction,Russian,,,
109A-rus,No applicative construction,Applicative Constructions,Russian,,,
109B-rus,No applicative construction,Other Roles of Applied Objects,Russian,,,
110A-rus,Purposive but no sequential,Periphrastic Causative Constructions,Russian,,,Wade 1992;Comrie 1989
111A-rus,Morphological but no compound,Nonperiphrastic Causative Constructions,Russian,,,Wade 1992;Comrie 1989
112A-rus,Negative particle,Negative Morphemes,Russian,,,Launer 1974
113A-rus,Symmetric,Symmetric and Asymmetric Standard Negation,Russian,,,Wade 1992
114A-rus,Non-assignable,Subtypes of Asymmetric Standard Negation,Russian,,,Wade 1992
115A-rus,Predicate negation also present,Negative Indefinite Pronouns and Predicate Negation,Russian,,,Haspelmath 1997
116A-rus,Question particle,Polar Questions,Russian,,,Launer 1974
117A-rus,Locational,Predicative Possession,Russian,,,Pulkina and Zakhava-Nekrasova 1974
118A-rus,Nonverbal encoding,Predicative Adjectives,Russian,,,
119A-rus,Identical,Nominal and Locational Predication,Russian,,,
120A-rus,Possible,Zero Copula for Predicate Nominals,Russian,,,
121A-rus,Particle,Comparative Constructions,Russian,,,Pulkina and Zakhava-Nekrasova 1974
122A-rus,Relative pronoun,Relativization on Subjects,Russian,,,
123A-rus,Relative pronoun,Relativization on Obliques,Russian,,,
124A-rus,Subject is left implicit,'Want' Complement Subjects,Russian,,,
125A-rus,Balanced/deranked,Purpose Clauses,Russian,,,Wade 1992
126A-rus,Balanced/deranked,'When' Clauses,Russian,,,Wade 1992
127A-rus,Balanced/deranked,Reason Clauses,Russian,,,Wade 1992
128A-rus,Balanced,Utterance Complement Clauses,Russian,,,Wade 1992
129A-rus,Identical,Hand and Arm,Russian,,,Wedel and Romanov 1964
130A-rus,Different,Finger and Hand,Russian,,,Wedel and Romanov 1964
131A-rus,Decimal,Numeral Bases,Russian,,,
132A-rus,6,Number of Non-Derived Basic Colour Categories,Russian,,,
133A-rus,11,Number of Basic Colour Categories,Russian,,,
134A-rus,Green vs. blue,Green and Blue,Russian,,,
135A-rus,Red vs. yellow,Red and Yellow,Russian,,,
136A-rus,"M-T pronouns, paradigmatic",M-T Pronouns,Russian,,,
136B-rus,m in first person singular,M in First Person Singular,Russian,,,
137A-rus,No N-M pronouns,N-M Pronouns,Russian,,,
137B-rus,No m in second person singular,M in Second Person Singular,Russian,,,
138A-rus,Words derived from Sinitic cha,Tea,Russian,,,
142A-rus,Affective meanings,Para-Linguistic Usages of Clicks,Russian,,,
143A-rus,NegV,Order of Negative Morpheme and Verb,Russian,,,Launer 1974
143E-rus,NegV,Preverbal Negative Morphemes,Russian,,,Launer 1974
143F-rus,None,Postverbal Negative Morphemes,Russian,,,Launer 1974
143G-rus,None,Minor morphological means of signaling negation,Russian,,,Launer 1974
144A-rus,SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb",Russian,,,Launer 1974
144B-rus,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Russian,,,Launer 1974
144D-rus,SNegVO,The Position of Negative Morphemes in SVO Languages,Russian,,,Launer 1974
144H-rus,No NegSVO,NegSVO Order,Russian,,,Launer 1974
144I-rus,Word&NoDoubleNeg,SNegVO Order,Russian,,,Launer 1974
144J-rus,No SVNegO,SVNegO Order,Russian,,,Launer 1974
144K-rus,No SVONeg,SVONeg Order,Russian,,,Launer 1974
