ID,Name,Parameter,Language,Frequency,Confidence,References
143F-dut,VNeg,Postverbal Negative Morphemes,Dutch,,,Shetter 1958
143G-dut,None,Minor morphological means of signaling negation,Dutch,,,Shetter 1958
144A-dut,More than one position,"Position of Negative Word With Respect to Subject, Object, and Verb",Dutch,,,Shetter 1958
144B-dut,"End, not immed postverbal",Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Dutch,,,Shetter 1958
144D-dut,More than one construction,The Position of Negative Morphemes in SVO Languages,Dutch,,,Shetter 1958
144E-dut,SVONeg/SONegV,Multiple Negative Constructions in SVO Languages,Dutch,,,Shetter 1958
144H-dut,No NegSVO,NegSVO Order,Dutch,,,Shetter 1958
144I-dut,No SNegVO,SNegVO Order,Dutch,,,Shetter 1958
144J-dut,No SVNegO,SVNegO Order,Dutch,,,Shetter 1958
144K-dut,NoDoubleNeg,SVONeg Order,Dutch,,,Shetter 1958
144L-dut,More than one construction,The Position of Negative Morphemes in SOV Languages,Dutch,,,Shetter 1958
144M-dut,SONegV/SVONeg,Multiple Negative Constructions in SOV Languages,Dutch,,,Shetter 1958
144P-dut,No NegSOV,NegSOV Order,Dutch,,,Shetter 1958
144Q-dut,No SNegOV,SNegOV Order,Dutch,,,Shetter 1958
144R-dut,Word&NoDoubleNeg,SONegV Order,Dutch,,,Shetter 1958
144S-dut,NoSOVNeg,SOVNeg Order,Dutch,,,Shetter 1958
