ID,Name,Parameter,Language,Frequency,Confidence,References
143A-pol,NegV,Order of Negative Morpheme and Verb,Polish,,,Bielec 1998
143E-pol,NegV,Preverbal Negative Morphemes,Polish,,,Bielec 1998
143F-pol,None,Postverbal Negative Morphemes,Polish,,,Bielec 1998
143G-pol,None,Minor morphological means of signaling negation,Polish,,,Bielec 1998
144A-pol,SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb",Polish,,,Bielec 1998
144B-pol,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Polish,,,Bielec 1998
144D-pol,SNegVO,The Position of Negative Morphemes in SVO Languages,Polish,,,Bielec 1998
144H-pol,No NegSVO,NegSVO Order,Polish,,,Bielec 1998
144I-pol,Word&NoDoubleNeg,SNegVO Order,Polish,,,Bielec 1998
144J-pol,No SVNegO,SVNegO Order,Polish,,,Bielec 1998
144K-pol,No SVONeg,SVONeg Order,Polish,,,Bielec 1998
