ID,Name,Parameter,Language,Frequency,Confidence,References
143A-swe,Type 1 / Type 2,Order of Negative Morpheme and Verb,Swedish,,,Holmes and Hinchliffe 1994
143E-swe,NegV,Preverbal Negative Morphemes,Swedish,,,Holmes and Hinchliffe 1994
143F-swe,VNeg,Postverbal Negative Morphemes,Swedish,,,Holmes and Hinchliffe 1994
143G-swe,None,Minor morphological means of signaling negation,Swedish,,,Holmes and Hinchliffe 1994
144A-swe,More than one position,"Position of Negative Word With Respect to Subject, Object, and Verb",Swedish,,,Holmes and Hinchliffe 1994
144D-swe,More than one construction,The Position of Negative Morphemes in SVO Languages,Swedish,,,Holmes and Hinchliffe 1994
144E-swe,SNegVO/SVNegO,Multiple Negative Constructions in SVO Languages,Swedish,,,Holmes and Hinchliffe 1994
144H-swe,No NegSVO,NegSVO Order,Swedish,,,Holmes and Hinchliffe 1994
144I-swe,Word&NoDoubleNeg,SNegVO Order,Swedish,,,Holmes and Hinchliffe 1994
144J-swe,Word&NoDoubleNeg,SVNegO Order,Swedish,,,Holmes and Hinchliffe 1994
144K-swe,No SVONeg,SVONeg Order,Swedish,,,Holmes and Hinchliffe 1994
