ID,Name,Parameter,Language,Frequency,Confidence,References
126A-prs,Balanced,'When' Clauses,Persian,,,Mahootian 1997
127A-prs,Balanced,Reason Clauses,Persian,,,Mahootian 1997
128A-prs,Balanced,Utterance Complement Clauses,Persian,,,Mahootian 1997
131A-prs,Decimal,Numeral Bases,Persian,,,Mahootian 1997
136A-prs,"M-T pronouns, paradigmatic",M-T Pronouns,Persian,,,Mahootian 1997
136B-prs,m in first person singular,M in First Person Singular,Persian,,,Mahootian 1997
137A-prs,No N-M pronouns,N-M Pronouns,Persian,,,Mahootian 1997
137B-prs,No m in second person singular,M in Second Person Singular,Persian,,,Mahootian 1997
138A-prs,Words derived from Sinitic cha,Tea,Persian,,,Malherbe and Rosenberg 1996
142A-prs,Logical meanings,Para-Linguistic Usages of Clicks,Persian,,,
143A-prs,[Neg-V],Order of Negative Morpheme and Verb,Persian,,,Lambton 1967;Rastorgueva 1964
143E-prs,[Neg-V],Preverbal Negative Morphemes,Persian,,,Lambton 1967;Rastorgueva 1964
143F-prs,None,Postverbal Negative Morphemes,Persian,,,Rastorgueva 1964;Lambton 1967
143G-prs,None,Minor morphological means of signaling negation,Persian,,,Lambton 1967;Rastorgueva 1964
144A-prs,MorphNeg,"Position of Negative Word With Respect to Subject, Object, and Verb",Persian,,,Lambton 1967;Rastorgueva 1964
144L-prs,SO[Neg-V],The Position of Negative Morphemes in SOV Languages,Persian,,,Lambton 1967;Rastorgueva 1964
144P-prs,No NegSOV,NegSOV Order,Persian,,,Rastorgueva 1964;Lambton 1967
144Q-prs,No SNegOV,SNegOV Order,Persian,,,Rastorgueva 1964;Lambton 1967
144R-prs,Prefix&NoDoubleNeg,SONegV Order,Persian,,,Lambton 1967;Rastorgueva 1964
144S-prs,NoSOVNeg,SOVNeg Order,Persian,,,Lambton 1967;Rastorgueva 1964
