ID,Name,Parameter,Language,Frequency,Confidence,References
118A-rom,Nonverbal encoding,Predicative Adjectives,Romanian,,,Mallinson 1986
119A-rom,Identical,Nominal and Locational Predication,Romanian,,,Mallinson 1986
120A-rom,Impossible,Zero Copula for Predicate Nominals,Romanian,,,Mallinson 1986
124A-rom,Subject is expressed overtly,'Want' Complement Subjects,Romanian,,,
129A-rom,Different,Hand and Arm,Romanian,,,Bergman 1968
130A-rom,Different,Finger and Hand,Romanian,,,Bergman 1968
143A-rom,NegV,Order of Negative Morpheme and Verb,Romanian,,,Mallinson 1986
143E-rom,NegV,Preverbal Negative Morphemes,Romanian,,,Mallinson 1986
143F-rom,None,Postverbal Negative Morphemes,Romanian,,,Mallinson 1986
143G-rom,None,Minor morphological means of signaling negation,Romanian,,,Mallinson 1986
144A-rom,SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb",Romanian,,,Mallinson 1986
144B-rom,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Romanian,,,Mallinson 1986
144D-rom,SNegVO,The Position of Negative Morphemes in SVO Languages,Romanian,,,Mallinson 1986
144H-rom,No NegSVO,NegSVO Order,Romanian,,,Mallinson 1986
144I-rom,Word&NoDoubleNeg,SNegVO Order,Romanian,,,Mallinson 1986
144J-rom,No SVNegO,SVNegO Order,Romanian,,,Mallinson 1986
144K-rom,No SVONeg,SVONeg Order,Romanian,,,Mallinson 1986
