ID,Name,Parameter,Language,Frequency,Confidence,References
143A-hun,NegV,Order of Negative Morpheme and Verb,Hungarian,,,Kenesei et al. 1998;Kiefer 1967;Benkö and Imre 1972
143E-hun,NegV,Preverbal Negative Morphemes,Hungarian,,,Kenesei et al. 1998;Benkö and Imre 1972;Kiefer 1967
143F-hun,None,Postverbal Negative Morphemes,Hungarian,,,Kenesei et al. 1998;Benkö and Imre 1972;Kiefer 1967
143G-hun,None,Minor morphological means of signaling negation,Hungarian,,,Kiefer 1967;Kenesei et al. 1998;Benkö and Imre 1972
144A-hun,SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb",Hungarian,,,Kiefer 1967;Kenesei et al. 1998
144B-hun,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Hungarian,,,Kiefer 1967;Kenesei et al. 1998
144C-hun,"SVO/SOV, but SNegVO",Languages with different word order in negative clauses,Hungarian,,,Kiefer 1967;Kenesei et al. 1998
144D-hun,SOV/SOV but SNegVO,The Position of Negative Morphemes in SVO Languages,Hungarian,,,Kiefer 1967;Kenesei et al. 1998
144H-hun,No NegSVO,NegSVO Order,Hungarian,,,Kiefer 1967;Kenesei et al. 1998
144I-hun,Word&NoDoubleNeg,SNegVO Order,Hungarian,,,Kiefer 1967;Kenesei et al. 1998
144J-hun,No SVNegO,SVNegO Order,Hungarian,,,Kenesei et al. 1998;Kiefer 1967
144K-hun,No SVONeg,SVONeg Order,Hungarian,,,Kiefer 1967;Kenesei et al. 1998
